吉林电信,#genre#
CCTV-4中文国际,http://218.8.87.96:4000/rtp/229.58.190.131:5000
CCTV-5体育,http://218.8.87.96:4000/rtp/229.58.190.60:5000
CCTV-5+体育赛事,http://218.8.87.96:4000/rtp/229.58.190.154:5000
CCTV-6电影,http://218.8.87.96:4000/rtp/229.58.190.61:5000
CCTV-7国防军事,http://218.8.87.96:4000/rtp/229.58.190.132:5000
CCTV-8电视剧,http://218.8.87.96:4000/rtp/229.58.190.63:5000
CCTV-9纪录,http://218.8.87.96:4000/rtp/229.58.190.156:5000
CCTV-10科教,http://218.8.87.96:4000/rtp/229.58.190.157:5000
CCTV-11戏曲,http://218.8.87.96:4000/rtp/229.58.190.134:5000
CCTV-12社会与法,http://218.8.87.96:4000/rtp/229.58.190.158:5000
CCTV-13新闻,http://218.8.87.96:4000/rtp/229.58.190.136:5000
CCTV-14少儿,http://218.8.87.96:4000/rtp/229.58.190.159:5000
CCTV-15音乐,http://218.8.87.96:4000/rtp/229.58.190.127:5000
CCTV-17农业农村,http://218.8.87.96:4000/rtp/229.58.190.211:5000
CCTV第一剧场,http://218.8.87.96:4000/rtp/229.58.190.21:5000
CCTV兵器科技,http://218.8.87.96:4000/rtp/229.58.190.29:5000
CCTV风云音乐,http://218.8.87.96:4000/rtp/229.58.190.190:5000
CCTV央视文化精品,http://218.8.87.96:4000/rtp/229.58.190.189:5000
湖南卫视,http://218.8.87.96:4000/rtp/229.58.190.128:5000
湖北卫视,http://218.8.87.96:4000/rtp/229.58.190.101:5000
江苏卫视,http://218.8.87.96:4000/rtp/229.58.190.37:5000
北京卫视,http://218.8.87.96:4000/rtp/229.58.190.172:5000
山东卫视,http://218.8.87.96:4000/rtp/229.58.190.160:5000
深圳卫视,http://218.8.87.96:4000/rtp/229.58.190.52:5000
四川卫视,http://218.8.87.96:4000/rtp/229.58.190.38:5000
天津卫视,http://218.8.87.96:4000/rtp/229.58.190.161:5000
河南卫视,http://218.8.87.96:4000/rtp/229.58.190.103:5000
河北卫视,http://218.8.87.96:4000/rtp/229.58.190.209:5000
山西卫视,http://218.8.87.96:4000/rtp/229.58.190.89:5000
安徽卫视,http://218.8.87.96:4000/rtp/229.58.190.162:5000
东南卫视,http://218.8.87.96:4000/rtp/229.58.190.168:5000
东方卫视,http://218.8.87.96:4000/rtp/229.58.190.54:5000
广东卫视,http://218.8.87.96:4000/rtp/229.58.190.53:5000
广西卫视,http://218.8.87.96:4000/rtp/229.58.190.31:5000
吉林卫视,http://218.8.87.96:4000/rtp/229.58.190.214:5000
贵州卫视,http://218.8.87.96:4000/rtp/229.58.190.100:5000
江西卫视,http://218.8.87.96:4000/rtp/229.58.190.208:5000
浙江卫视,http://218.8.87.96:4000/rtp/229.58.190.28:5000
云南卫视,http://218.8.87.96:4000/rtp/229.58.190.176:5000
辽宁卫视,http://218.8.87.96:4000/rtp/229.58.190.146:5000
宁夏卫视,http://218.8.87.96:4000/rtp/229.58.190.184:5000
内蒙古卫视,http://218.8.87.96:4000/rtp/229.58.190.183:5000
陕西卫视,http://218.8.87.96:4000/rtp/229.58.190.80:5000
海南卫视,http://218.8.87.96:4000/rtp/229.58.190.141:5000
青海卫视,http://218.8.87.96:4000/rtp/229.58.190.149:5000
